t,dist_m1,dist_m2,dist_m3,valid_m1,valid_m2,valid_m3
1612483696.3157642,5.8509998321533203,0,0,1,0,0
1612483696.4137976,0,0,0,0,0,0
1612483696.8118832,0,12.862000465393066,7.6220002174377441,0,1,1
1612483697.0117803,5.7290000915527344,12.871999740600586,7.7020001411437988,1,1,1
1612483697.1119974,5.6399998664855957,12.923000335693359,0,1,1,0
1612483697.2119019,5.6640000343322754,12.857999801635742,0,1,1,0
1612483697.3118339,5.6350002288818359,12.88599967956543,0,1,1,0
1612483697.4119065,5.620999813079834,0,0,1,0,0
1612483697.5120478,5.6030001640319824,0,0,1,0,0
1612483697.8119619,5.559999942779541,12.890000343322754,8.2919998168945312,1,1,1
1612483697.9120436,5.5510001182556152,12.946999549865723,8.4139995574951172,1,1,1
1612483698.0119717,5.5320000648498535,12.942000389099121,8.4329996109008789,1,1,1
1612483698.1119294,5.4619998931884766,12.923000335693359,0,1,1,0
1612483698.2119789,5.4429998397827148,12.946999549865723,0,1,1,0
1612483698.3121233,5.4340000152587891,12.937000274658203,0,1,1,0
1612483698.4163928,5.3550000190734863,0,0,1,0,0
1612483698.7122681,5.3220000267028809,12.890000343322754,0,1,1,0
1612483698.812248,5.2800002098083496,12.895000457763672,0,1,1,0
1612483698.9121606,5.1669998168945312,12.857999801635742,0,1,1,0
1612483699.0122354,5.1389999389648438,12.810999870300293,0,1,1,0
1612483699.1123173,5.1479997634887695,0,0,1,0,0
1612483699.2125304,5.0970001220703125,0,0,1,0,0
1612483699.3122907,5.1110000610351562,0,0,1,0,0
1612483699.6121247,5.2189998626708984,12.871999740600586,0,1,1,0
1612483699.7122433,5.2140002250671387,12.880999565124512,0,1,1,0
1612483699.8123634,5.2090001106262207,12.913999557495117,0,1,1,0
1612483699.9124038,5.2470002174377441,0,0,1,0,0
1612483700.0125992,5.2329998016357422,0,0,1,0,0
1612483700.1123297,5.250999927520752,0,0,1,0,0
1612483700.3082612,5.2329998016357422,12.961000442504883,0,1,1,0
1612483700.6163802,5.4099998474121094,0,0,1,0,0
1612483700.7131515,5.4569997787475586,0,0,1,0,0
1612483700.8126915,5.4899997711181641,13.083000183105469,0,1,1,0
1612483700.9123242,5.6069998741149902,13.111000061035156,0,1,1,0
1612483701.012352,5.6919999122619629,13.161999702453613,0,1,1,0
1612483701.1123512,5.7529997825622559,0,0,1,0,0
1612483701.6124661,5.8559999465942383,13.430000305175781,0,1,1,0
1612483701.7125297,6.244999885559082,13.52400016784668,0,1,1,0
1612483701.8125873,6.3299999237060547,13.602999687194824,0,1,1,0
1612483701.9125071,6.3850002288818359,13.649999618530273,0,1,1,0
1612483702.0125806,6.4650001525878906,0,0,1,0,0
1612483702.4125483,6.5869998931884766,13.819000244140625,0,1,1,0
1612483702.5125778,6.6620001792907715,13.847000122070312,0,1,1,0
1612483702.6126432,6.745999813079834,13.85099983215332,0,1,1,0
1612483702.7146919,6.7890000343322754,13.944999694824219,0,1,1,0
1612483702.8128579,6.8449997901916504,13.949999809265137,0,1,1,0
1612483702.912816,6.8119997978210449,0,0,1,0,0
1612483703.4127364,6.9530000686645508,13.958999633789062,0,1,1,0
1612483703.5127466,7.0219998359680176,13.930999755859375,0,1,1,0
1612483703.6128278,7.004000186920166,0,0,1,0,0
1612483703.7128406,6.9939999580383301,0,0,1,0,0
1612483703.8128011,7.0180001258850098,0,0,1,0,0
1612483704.2108517,7.1160001754760742,13.907999992370605,0,1,1,0
1612483704.3108809,7.0980000495910645,13.819000244140625,0,1,1,0
1612483704.4130197,7.1539998054504395,13.949999809265137,0,1,1,0
1612483704.510915,7.1440000534057617,0,0,1,0,0
1612483704.6109343,7.2239999771118164,13.930999755859375,0,1,1,0
1612483704.710938,7.1820001602172852,13.982999801635742,0,1,1,0
1612483705.91524,8.0439996719360352,0,12.788000106811523,1,0,1
1612483706.0114615,8.1660003662109375,0,0,1,0,0
1612483706.1116931,8.1899995803833008,0,0,1,0,0
1612483706.2112963,8.2600002288818359,0,0,1,0,0
1612483706.3111556,8.3489999771118164,0,0,1,0,0
1612483706.4112666,8.4099998474121094,0,0,1,0,0
1612483706.5112169,8.5030002593994141,0,0,1,0,0
1612483707.2114637,9.4079999923706055,0,14.652999877929688,1,0,1
1612483707.3114913,9.5530004501342773,16.194999694824219,14.812000274658203,1,1,1
1612483707.4114277,9.699000358581543,0,0,1,0,0
1612483707.9114661,10.602999687194824,0,16.049999237060547,1,0,1
1612483708.0154488,10.758000373840332,0,16.256000518798828,1,0,1
1612483708.1115839,10.968999862670898,0,16.504999160766602,1,0,1
1612483708.2116005,11.156000137329102,17.738000869750977,16.749000549316406,1,1,1
1612483708.3115497,11.38599967956543,17.924999237060547,0,1,1,0
1612483708.7118287,12.342000007629395,0,0,1,0,0
1612483708.8117499,12.604999542236328,0,0,1,0,0
1612483708.9117627,12.802000045776367,0,0,1,0,0
1612483709.0121872,13.059000015258789,0,0,1,0,0
1612483709.1121044,20.437999725341797,19.795999526977539,19.190999984741211,1,1,1
1612483709.2118061,13.579999923706055,0,0,1,0,0
1612483709.6123967,14.71399974822998,0,0,1,0,0
1612483709.7119379,14.980999946594238,0,0,1,0,0
1612483709.8120191,15.220000267028809,0,0,1,0,0
1612483709.9119768,15.454999923706055,0,0,1,0,0
1612483710.0119853,15.75,0,0,1,0,0
1612483710.1161895,16.011999130249023,0,0,1,0,0
1612483710.7122698,17.709999084472656,0,0,1,0,0
1612483710.811928,17.976999282836914,0,0,1,0,0
1612483710.9121788,18.28700065612793,0,0,1,0,0
1612483711.0119963,18.590999603271484,0,0,1,0,0
1612483711.5122914,19.922000885009766,0,0,1,0,0
1612483711.6120253,20.170999526977539,0,0,1,0,0
1612483712.7162006,23.270000457763672,0,0,1,0,0
1612483712.8122211,23.503999710083008,0,0,1,0,0
1612483713.3123147,24.995000839233398,0,0,1,0,0
1612483713.4123919,25.235000610351562,0,0,1,0,0
1612483714.2123628,27.503999710083008,0,0,1,0,0
1612483714.4083631,28.080999374389648,0,0,1,0,0
1612483714.5185792,0,0,0,0,0,0
1612483715.3145676,30.528999328613281,0,0,1,0,0
1612483715.4105215,30.791000366210938,0,0,1,0,0
1612483716.1106389,32.714000701904297,0,0,1,0,0
1612483716.4106448,33.497001647949219,0,0,1,0,0
1612483716.9107234,34.839000701904297,0,0,1,0,0
1612483717.9156692,37.497001647949219,0,0,1,0,0
1612483718.6117663,39.377998352050781,0,0,1,0,0
1612483775.7138293,0,41.409000396728516,0,0,1,0
1612483775.8117113,34.669998168945312,41.062000274658203,0,1,1,0
1612483776.5097938,0,38.708000183105469,0,0,1,0
1612483776.7098396,31.695999145507812,0,0,1,0,0
1612483778.5141201,0,35.152999877929688,0,0,1,0
1612483785.6133053,28.371000289916992,0,33.412998199462891,1,0,1
1612483785.7132607,0,0,0,0,0,0
1612483786.3093047,0,0,31.659000396728516,0,0,1
1612483787.2094195,0,27.781000137329102,29.586000442504883,0,1,1
1612483796.9129181,0,0,24.746999740600586,0,0,1
1612483797.2089348,0,20.601999282836914,0,0,1,0
1612483797.4089413,0,0,24.273000717163086,0,0,1
1612483802.3118649,0,0,15.168999671936035,0,0,1
1612483802.5097308,12.923000335693359,13.265999794006348,14.953000068664551,1,1,1
1612483802.6097379,12.796999931335449,13.204999923706055,14.878000259399414,1,1,1
1612483802.7097728,12.689000129699707,13.227999687194824,14.76099967956543,1,1,1
1612483802.8097765,0,13.204999923706055,14.704999923706055,0,1,1
1612483808.3197474,11.133000373840332,0,0,1,0,0
1612483808.7160301,0,11.494000434875488,13.069000244140625,0,1,1
1612483808.9086804,0,11.329999923706055,13.199999809265137,0,1,1
1612483809.1111279,11.352999687194824,11.156000137329102,13.307999610900879,1,1,1
1612483809.2087514,11.432999610900879,0,0,1,0,0
