measurement_index,position_error,constant_bias_error,linear_bias_error,gdop,residual,condition_number
2,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
3,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
4,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
5,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
6,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
7,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
8,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
9,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
10,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
11,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
12,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
13,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
14,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
15,3.0471885402777423,0.02420583722848444,0.013199680920683576,inf,inf,inf
16,12.220492115725845,6.957506436561342,15.522988548799797,inf,inf,inf
17,12.285934206786992,6.853633785955763,12.983882668210843,inf,inf,inf
18,11.860397736435374,5.437510852018045,28.691115244444354,265.9377803574397,0.0037947317192472685,8184.017182958087
19,11.636183019518056,0.015058222986635849,0.013199680920683576,215.25806071984144,0.004746991209177764,7060.997926008533
20,11.46733277966304,0.004875589759466711,0.013199680920683576,176.1612106751057,0.005708760798855295,6683.405466169404
21,11.252894174012223,0.014598694941555829,0.013199680920683576,176.1612106751057,0.005708760798855295,6683.405466169404
22,11.292798707691544,0.003382676072289613,0.013199680920683576,145.0862408396994,0.0042977031331785185,1711.4794117369163
23,11.311903032549273,0.0009780161116883027,0.013199680920683576,145.0862408396994,0.0042977031331785185,1711.4794117369163
24,11.281998580180092,0.00293697577706431,0.013199680920683576,119.16126739391561,0.002973711175180238,834.0969480131154
25,11.246849948459923,0.0004737146182622054,0.013199680920683576,119.16126739391561,0.002973711175180238,834.0969480131154
26,11.210950465575056,0.006896686841393586,0.013199680920683576,119.16126739391561,0.002973711175180238,834.0969480131154
27,11.163578296259127,0.009230204708278962,0.013199680920683576,119.16126739391561,0.002973711175180238,834.0969480131154
28,11.095245028142662,0.019909436824682207,0.013199680920683576,119.16126739391561,0.002973711175180238,834.0969480131154
29,11.074214340757655,0.020266746123600646,0.013199680920683576,54.17281553768865,0.0041592653783172635,533.2354931673204
30,10.984599496681797,0.014004157647236629,0.013199680920683576,54.17281553768865,0.0041592653783172635,533.2354931673204
31,10.920643470441652,0.014333212752726025,0.013199680920683576,54.17281553768865,0.0041592653783172635,533.2354931673204
32,10.835264070049561,0.03468005640776316,0.013199680920683576,54.17281553768865,0.0041592653783172635,533.2354931673204
33,10.734464817836866,0.05509610257973049,0.013199680920683576,54.17281553768865,0.0041592653783172635,533.2354931673204
34,10.638474440360067,0.04449972262936145,0.013199680920683576,54.17281553768865,0.0041592653783172635,533.2354931673204
35,10.5160827560258,0.06749358007030681,0.013199680920683576,54.17281553768865,0.0041592653783172635,533.2354931673204
36,10.414709917299087,0.06736895340734159,0.013199680920683576,54.17281553768865,0.0041592653783172635,533.2354931673204
37,10.414709917299087,0.06736895340734159,0.013199680920683576,inf,inf,inf
38,10.218973580621693,0.08414652159870734,0.013199680920683576,inf,inf,inf
39,10.218973580621693,0.08414652159870734,0.013199680920683576,inf,inf,inf
40,9.964862299640055,0.11238621471699675,0.013199680920683576,inf,inf,inf
41,9.964862299640055,0.11238621471699675,0.013199680920683576,inf,inf,inf
42,9.744343569541813,0.1356625745148228,0.013199680920683576,inf,inf,inf
43,9.744343569541813,0.1356625745148228,0.013199680920683576,inf,inf,inf
44,9.549711122235236,0.139286327182032,0.013199680920683576,inf,inf,inf
45,9.549711122235236,0.139286327182032,0.013199680920683576,inf,inf,inf
46,9.231822585768292,0.17846610408919042,0.013199680920683576,inf,inf,inf
47,9.231822585768292,0.17846610408919042,0.013199680920683576,inf,inf,inf
48,9.056707501478712,0.14934570988589727,0.013199680920683576,inf,inf,inf
49,9.056707501478712,0.14934570988589727,0.013199680920683576,inf,inf,inf
50,8.67863173400165,0.23419949230431117,0.013199680920683576,inf,inf,inf
51,8.642154371469836,0.16637906848147227,0.013199680920683576,inf,inf,inf
52,8.731632688131288,0.020275294360035008,0.013199680920683576,inf,inf,inf
53,8.73166431173393,0.013960305627651307,0.013199680920683576,inf,inf,inf
54,8.57366339414137,0.13422925464899801,0.013199680920683576,inf,inf,inf
55,8.605754906608395,0.11152593704968067,0.013199680920683576,inf,inf,inf
56,8.501189498028163,0.30515359053827795,0.013199680920683576,inf,inf,inf
57,8.56187476091003,0.28378730292520105,0.013199680920683576,inf,inf,inf
58,8.53706380592051,0.361439539068829,0.013199680920683576,inf,inf,inf
59,8.549203499143562,0.3648791876667961,0.013199680920683576,inf,inf,inf
60,8.5564964382817,0.3656459090046069,0.013199680920683576,11.962203768558016,0.04893964104435533,890.9971810606091
61,8.66713220647427,0.31588234997674425,0.013199680920683576,11.962203768558016,0.04893964104435533,890.9971810606091
62,8.684672479712932,0.332168765846107,0.013199680920683576,11.962203768558016,0.04893964104435533,890.9971810606091
63,8.698300851664694,0.34239224065471796,0.013199680920683576,11.962203768558016,0.04893964104435533,890.9971810606091
64,8.700355258622444,0.35332741267210993,0.013199680920683576,11.962203768558016,0.04893964104435533,890.9971810606091
65,8.57037701638368,0.35120952521509047,0.013199680920683576,11.962203768558016,0.04893964104435533,890.9971810606091
66,8.38618858003258,0.5159056349767924,0.013199680920683576,11.962203768558016,0.04893964104435533,890.9971810606091
67,8.214634482125772,0.5052502762413444,0.013199680920683576,11.962203768558016,0.04893964104435533,890.9971810606091
68,8.077131285063608,0.2799199820279929,0.013199680920683576,11.962203768558016,0.04893964104435533,890.9971810606091
69,8.077131285063608,0.2799199820279929,0.013199680920683576,inf,inf,inf
70,7.913584861739065,0.30257667531700044,0.013199680920683576,inf,inf,inf
71,7.913584861739065,0.30257667531700044,0.013199680920683576,inf,inf,inf
72,7.852902675685146,0.26228790015710496,0.013199680920683576,inf,inf,inf
73,7.852902675685146,0.26228790015710496,0.013199680920683576,inf,inf,inf
74,7.436998259615651,0.30775363051885635,0.013199680920683576,inf,inf,inf
75,7.3427692813163175,0.39794957446615864,0.013199680920683576,inf,inf,inf
76,7.3427692813163175,0.39794957446615864,0.013199680920683576,inf,inf,inf
77,7.1369305031884105,0.4180710150117475,0.013199680920683576,inf,inf,inf
78,7.150623221711354,0.39363482883968787,0.013199680920683576,inf,inf,inf
79,7.150623221711354,0.39363482883968787,0.013199680920683576,inf,inf,inf
80,7.172663422840257,0.2246200135415297,0.013199680920683576,inf,inf,inf
81,7.172663422840257,0.2246200135415297,0.013199680920683576,inf,inf,inf
82,6.839754681170681,0.35628768662288207,0.013199680920683576,inf,inf,inf
83,6.839754681170681,0.35628768662288207,0.013199680920683576,inf,inf,inf
84,6.752782698103511,0.3570575682925565,0.013199680920683576,inf,inf,inf
85,6.752782698103511,0.3570575682925565,0.013199680920683576,inf,inf,inf
86,6.729890226136851,0.27351651573880514,0.013199680920683576,inf,inf,inf
87,6.473000925176471,0.4420299023183393,0.013199680920683576,inf,inf,inf
